Label,Subsection,Title,Abstract,Sentiment_Label
Immigration,Politics,Religious Groups Sue Homeland Security Over Immigration Arrests,"After taking office, President Trump rescinded a policy that instructed immigration agents to steer clear of sensitive locations like churches, schools and hospitals.",Positive
Immigration,Politics,High Immigration Arrest Figures Under Trump Come With Few Details,"Specifics of detainments have been scarce, leaving it unclear whether the criminals being targeted make up a significant share of those being captured.",Positive
Immigration,Politics,"Tennessee Lawmakers, Mirroring Trump Agenda, Pass Bills on Immigration and School Vouchers","The legislature’s Republican supermajority left little room for debate, pushing through millions of dollars and sprawling policy changes in a special session that lasted just four days.",Positive
Immigration,Politics,Trump’s Day 1 Crackdown on Immigration,"President Trump’s executive actions on immigration were the leading edge of an effort to upend the United States’ role as a sanctuary for refugees and immigrants. Zolan Kanno-Youngs, a White House correspondent for The New York Times, explains what Trump has done so far.",Positive
Immigration,Politics,Hegseth Promises ‘Shift’ at Pentagon and a Focus on Immigration,"“Whatever is needed at the border will be provided,” Pete Hegseth, the new defense secretary, told reporters on Monday.",Positive
Immigration,Politics,"Border, Asylum, Citizenship: Trump Kicks Off Vast Immigration Changes","More is coming, but many directives will take time to be implemented or will face political, legal or practical obstacles.",Positive
Immigration,Politics,F.B.I. Calls D.H.S. Secretary’s Criticism ‘Deeply Irresponsible’,Secretary Kristi Noem suggested this week that F.B.I. special agents leaked details ahead of immigration arrests being conducted on the West Coast.,Positive
Immigration,Politics,Trump Administration Toughens Rules for Release of Migrant Children,A new policy requires the fingerprinting of all adults who will be living with a migrant child in the United States. Advocates for immigrants say it could fuel overcrowding in shelters.,Positive
Immigration,Politics,Justice Dept. Accuses New York of Favoring ‘Illegal Aliens’ Over U.S. Citizens,"The attorney general sued the state, citing a law allowing New Yorkers to get a driver’s license regardless of legal status. Gov. Kathy Hochul’s office made clear that it supported “deporting violent criminals.”",Negative
Immigration,Politics,Fourth Federal Judge Blocks Trump’s Birthright Citizenship Order,"Federal judges in Maryland, Washington State and New Hampshire have already issued similar injunctions to stop the executive order from being enacted.",Positive
Immigration,Politics,U.S. Deports Migrants From Asia to Panama,"The move could herald a new front in the Trump administration’s plans for mass deportations, one that allows for more rapid removal of migrants whose home countries are reluctant to accept them.",Positive
Immigration,Politics,Court Blocks U.S. From Sending 3 Venezuelan Migrants to Guantánamo,"The men, who are detained in New Mexico, say they “fit the profile” of the type of migrants the Trump administration has started sending to the Navy base in Cuba.",Negative
Immigration,Politics,Fiery Directives Under Trump’s Justice Dept. Signal a Significant Shift,"The new tone of the department, current and former officials say, appears to promise a campaign of intimidation against career employees viewed as insufficiently loyal.",Positive
Immigration,Politics,A Tent City Is Rising at Guantánamo Bay,These are the first independent images to emerge from the migrant operation that the Trump administration has begun at the Navy base.,Negative
Immigration,Politics,U.S. Is Holding Migrants in Cells That Once Held Al Qaeda Suspects,The Trump administration said the 10 men who were sent to a prison on the base at Guantánamo Bay are affiliated with gangs.,Negative
Immigration,Politics,Justice Dept. to Investigate Local Officials Who Obstruct Immigration Enforcement,A memo asserts that state and local officials are bound to cooperate and could face criminal prosecution or civil penalties if they fail to comply.,Negative
Immigration,Politics,Trump Says He Would Jail Americans in El Salvador ‘in a Heartbeat’,"The proposal is almost certainly illegal, experts said, but President Trump’s eagerness to entertain it showed his willingness to embrace extreme measures to demonstrate he is tough on crime.",Negative
Immigration,Politics,Defense Secretary Vows to Use Thousands of Active-Duty Troops to Secure Border,"Defense Secretary Pete Hegseth and Thomas D. Homan, President Trump’s border czar, toured areas near Mexico.",Positive
Immigration,Politics,El Salvador’s President Offers to Accept Criminals From U.S. for a Fee,"Secretary of State Marco Rubio praised President Nayib Bukele’s “unprecedented, extraordinary” proposal to accept any convicted criminal deported by the United States.",Positive
Immigration,Politics,"Trump Starts Immigration Crackdown, Enlisting the Military and Testing the Law",The president’s Day 1 actions included directives that fly in the face of legal limits on involving the military in domestic operations and the constitutional guarantee of birthright citizenship.,Positive
Immigration,Politics,Guantánamo Bay Prepares for President Trump’s Migrant Surge,About 300 servicemembers have arrived in recent days as the base faces its most drastic changes since the Pentagon opened a prison there after the Sept. 11 attacks.,Negative
Immigration,Politics,Trump’s Tariffs Would Reverse Decades of Integration Between U.S. and Mexico,"Ties between the United States and Mexico have deepened over 30 years of free trade, creating both benefits and irritants.",Positive
Immigration,Politics,"Trump Signs Orders Imposing Tariffs on Canada, Mexico and China","The president signed executive orders placing tariffs on Canada, Mexico and China that were set to take effect on Tuesday, a move that could lead to a new era of global tensions.",Positive
Immigration,Politics,U.S. Military Planes Deliver Deportees to Honduras,President Xiomara Castro previously warned that she could oust the American military from Honduras if President Trump pursued aggressive deportations.,Negative
Immigration,Politics,"After Fleeing Violence in Guatemala, Their Child Was Killed in a U.S. School","A week after a 16-year-old was shot at her high school in Nashville, her parents made the wrenching decision to send her body back to Guatemala.",Positive
Immigration,Politics,How a New Law Makes Deportations Easier,"The Laken Riley Act is the first law President Trump has signed since coming into office. Zolan Kanno-Youngs, a New York Times White House correspondent, explains how it will make deportations easier.",Positive
Immigration,Politics,Trump Says U.S. Will Hold Migrants at Guantánamo,"The president suggested 30,000 migrants could be housed on the base. It is unclear how the plan will take shape.",Negative
Immigration,Politics,Trump Signs Bill Easing Deportation of Immigrants Accused of Crimes,"The legislation, known as the Laken Riley Act, is the first to be signed by the president in his new term, and shows how the politics of immigration have shifted.",Positive
Immigration,Politics,Pentagon Allows ICE to Use Colorado Military Base to Detain Migrants,"The decision to allow law enforcement officers to use facilities at Buckley Space Force Base in Aurora, Colo., plunges the U.S. military deeper into President Trump’s order to secure the southwestern border.",Negative
Immigration,Politics,Trump Officials Revoke Biden’s Extension of Protections for Venezuelans,"The Biden administration had extended protections for more than 600,000 Venezuelans. The cancellation of the extension could open them up to deportation in the coming months.",Positive
Immigration,Politics,Crackdown Bill Exposes Democratic Rift on Immigration as Trump Takes Power,"A G.O.P. measure to deport immigrants accused of minor crimes has spotlighted a divide among Democrats over how to position themselves on immigration, with some already shifting to the right.",Positive
Immigration,Politics,Denmark and Other Nations Under Pressure Seek Lobbyists With Trump Ties,The president’s confrontational foreign policy has created opportunity for his allies on K Street who are willing to take on clients he has targeted.,Positive
Immigration,Politics,Is Trump’s Plan to End Birthright Citizenship ‘Dred Scott II’?,The 14th Amendment overturned the 1857 decision that denied citizenship to Black people. Scholars say President Trump’s proposal betrays that history.,Negative
Immigration,Politics,Trump Officials Move to Quickly Expel Migrants Biden Allowed In Temporarily,A memo appears to allow Immigration and Customs Enforcement officials to target programs that let in more than a million people.,Positive
Citizenship,Politics,I d make it harder to get British citizenship says Badenoch,Conservative leader says people shouldn able apply citizenship least years,Positive
Citizenship,Politics,U S judge temporarily blocks Trump s birthright citizenship order,ruling bars agencies from implementing order birthright citizenship children born migrants temporarily without legal status while case under review,Positive
Citizenship,Politics,Democratic AGs sue over Trump s order to end birthright citizenship,group state attorneys general signed lawsuit filed Tuesday seeking block administration move describing unconstitutional,Positive
Citizenship,Politics,states sued to block Trump s push to end birthright citizenship which could impact hundreds of thousands of children each year,states sued block Trump executive order ending birthright citizenship which could impact many children each year,Positive
Citizenship,Politics,Trump wants to end birthright citizenship That s easier said than done,Trump executive orders moves birthright citizenship right enshrined Constitution Here what need know about legal principle possible future,Positive
Citizenship,Politics,A federal judge temporarily blocks Trump s executive order redefining birthright citizenship,federal judge Thursday temporarily blocked President Donald Trump executive order redefining birthright citizenship calling blatantly,Negative
Citizenship,Politics,Trump to declare national emergency at US Mexico border in flurry of day one orders,incoming president plans sign many executive orders administration begins,Positive
Citizenship,Politics,As Trump throws immigration into uncertainty parents grapple potential statelessness,Five undocumented pregnant women President Donald Trump over birthright citizenship executive order,Positive
Citizenship,Politics,Judge to consider future of Trump s order blocking birthright citizenship,federal judge Maryland consider whether President Trump will able redefine birthright citizenship stated Fourteenth Amendment,Positive
Citizenship,Politics,states challenge Trump s executive order cutting birthright citizenship,President Trump birthright citizenship flagrantly unlawful attorneys states said lawsuit challenging president executive order,Positive
Citizenship,Politics,Trump s order seeking to block birthright citizenship to face next legal hurdle,President Trump executive order seeking birthright citizenship will face next legal hurdle this week when three separate judges hold hearings issue,Positive
Citizenship,Politics,hostages are expected to be released by Hamas as part of a ceasefire with Israel,There women children list released from Gaza citizens Israel free hundreds prisoners exchange them,Positive
Citizenship,Politics,Johnson UK s most damaging PM says Reform UK chief,Yusuf tells Political Thinking podcast Johnson would welcome join Reform,Positive
Citizenship,Politics,Trump is back and ready to change America,Donald Trump returns Washington newly empowered Republican party remade itself image Supreme Court granted sweeping immunity official actions unlike last time narrowly popular vote,Positive
Citizenship,Politics,All the executive orders Trump has signed after week in office,President Trump signed slew orders during first week office impacting policy immigration environment federal diversity programs more,Positive
Citizenship,Politics,Trump s attempt to end birthright citizenship would overturn more than a century of precedent,President Donald Trump said since first administration that wants birthright citizenship constitutional right everyone born,Positive
Citizenship,Politics,Homeland Security s workforce might not be as big as Trump s immigration goals,Changes hiring retention practices grew department people four years former officials warn that still enough Trump ambitious policy goals,Positive
Citizenship,Politics,Trump and Musk said these bold moves were imminent Now they re stuck in the mud,Trump administration promised swift moving changes While some those plans have progressed many were almost immediately hold,Positive
Citizenship,Politics,All of the Day executive actions Trump has announced so far,Trump expected sign slew actions relating immigration other issues,Negative
Citizenship,Politics,FBI background checks of presidential nominees explained,Confirmation hearings Cabinet members nominated President elect Trump underway conducts background checks focusing character conduct nominees What involved,Positive
Citizenship,Politics,DeSantis faces pushback by fellow Republicans on his call for an immigration session,Republican leaders state legislature they support President Trump pledge combat illegal immigration want deal with other issues identified DeSantis their schedule,Negative
Citizenship,Politics,Senate confirms Kristi Noem as Trump s Secretary of Homeland Security,Noem will charge executing President Trump biggest priorities second term cracking down immigration,Negative
Citizenship,Politics,Trump testing limits of presidential power but experts say his flex might not stick,Legal experts tell News that sheer number presidential executive orders unprecedented whether they will stick guaranteed,Positive
Citizenship,Politics,The Logoff Trump attacks birthright citizenship,This story first Logoff Sign here stories like this delivered your inbox every weekday Good evening welcome first edition Logoff newsletter that gives Trump news need that,Positive
Citizenship,Politics,Judge blocks Trump Musk s shutdown of USAID,Judge Carl Nichols blocked Donald Trump Elon Musk attempted USAID shutdown days after American Foreign Service Association filed lawsuit,Negative
Citizenship,Politics,What to know about Trump s immigration and border executive actions,Trump promises sign executive actions address immigration border security Some will likely spark legal battles,Positive
Citizenship,Politics,Trump s cabinet pick for Homeland Security is Kristi Noem Here s what to know,confirmed Noem would lead department poised center Trump immigration policy priorities including deportation efforts visa changes border security,Positive
Citizenship,Politics,Bishop Mariann Budde tells NPR I won t apologize for sermon addressing Trump,Episcopal bishop Washington spoke with discuss sermon addressing President Trump asked have mercy,Negative
Citizenship,Politics,A U S dual citizen is among Israeli hostages exchanged for Palestinian prisoners,Siegel first American released part this deal total hostages have been released since ceasefire took effect Hundreds Palestinians have been released,Positive
Citizenship,Politics,Census Bureau Director Robert Santos is resigning making way for Trump s pick,Census Bureau Director Robert Santos resigning giving President Trump early opportunity nominate appointee lead bureau during preparations census,Positive
Citizenship,Politics,Could US criminals be sent to El Salvador s mega jail,Salvador offered take criminals deported from house them mega jail,Negative
Citizenship,Politics,US judge blocks Trump s order restricting birthright citizenship,Trump order targets constitutional right automatically granting citizenship anyone born country,Positive
Citizenship,Politics,Which countries other than the US offer birthright citizenship,least countries mostly Americas provide automatic citizenship anyone born within their borders,Positive
Citizenship,Politics,First raft of lawsuits target US birthright citizenship other Trump orders,Donald Trump signs record executive orders second term first including effort restrict citizenship,Positive
Citizenship,Politics,The Pregnant Immigrants Fighting Trump s Bid to End Birthright Citizenship,Trump hopes birthright citizenship executive order lawsuits filed across country immigrants seek stop post Pregnant Immigrants Fighting Trump Birthright Citizenship appeared first Intercept,Positive
Citizenship,Politics,Trump scraps birthright citizenship Who will it affect,Trump supporters programme been misused several Democrat states file legal challenge,Positive
Citizenship,Politics,Trump latest JFK killing files released birthright citizenship bar halted,also delve into latest from Davos cryptocurrency other executive orders,Positive
Citizenship,Politics,Trump s record breaking executive actions on Day already being challenged,President Donald Trump shattered record most executive orders signed first office,Positive
Citizenship,Politics,WATCH Houston zoo animals play in the snow,Some animals enjoying rare Texas snowfall including Asian elephant capybaras otters lions Lisa leopard,Positive
Citizenship,Politics,With the stroke of the pen Trump tries to remake America ANALYSIS,With half country firmly behind blessing America tech billionaires President Donald moving breakneck pace remake America,Negative
Citizenship,Politics,Woman gets more than year prison term for helping pregnant Chinese women get to US,California woman sentenced Monday more than years prison long running case over business that helped pregnant Chinese women travel,Positive
Citizenship,Politics,Census Bureau director resigns edition,Census Bureau director Robert Santos announced resignation Thursday Santos nationally recognized statistician first Latino head bureau joined federal governm,Positive
Citizenship,Politics,What to know about the Israel and Hamas Gaza ceasefire and hostage release talks,basic framework officials familiar with talks exchange Israeli hostages Palestinian prisoners week ceasefire Mediators applying pressure parties,Positive
Citizenship,Politics,Trump s mass deportation plan could drain more than billion a year from Social Security,President Donald Trump mass deportation plans could have significant economic side effect draining Social Security funding,Positive
Citizenship,Politics,Lawyers see increase in people cutting ties with US,Lawyers increase people cutting ties with Third column story link Related stories Applying Canadian citizenship Drudge Report Feed needs your support Become Patron,Negative
Citizenship,Politics,The one big question looming over Trump s power grabs,Much what Donald Trump done first eight days back White House legally unjustifiable What uncertain whether Supreme Court will anything stop particularly egregious cases Trump ordered birthright,Positive
Citizenship,Politics,Another DOGE Staffer Resigns After Secret Racist X Posts Revealed,Another DOGE Staffer Resigns After Secret Racist Posts Revealed First column story link Related stories DOGE Teen Owns Tesla Sexy Worked Startup That Hired Convicted Hackers Cheney Swipes Elon Citizenshi,Positive
Citizenship,Politics,Trump s attempt to overturn birthright citizenship uses century old Native American case,Indigenous people worried President Donald Trump attempt birthright citizenship constitutional right using century case that denied citizenship Native American,Positive
Citizenship,Politics,Trump s Extreme Birthright Citizenship Order Shut Down in Court Again,Another federal judge blocked Trump brutal attack birthright citizenship Wednesday District Judge Deborah Boardman filed preliminary injunction against Trump executive order which promise signed into action first,Negative
Citizenship,Politics,Trump is about to be sworn in Here are all the changes he has promised to make on Day One,Like predecessors Trump little first Inauguration Eight years later Trump promised full executive orders,Positive
Citizenship,Politics,Key actions from Trump s first day in office And insights from the inaugural speech,After President Trump sworn into second term yesterday kept many promises implemented orders also undone several predecessor actions Here breakdown,Positive
Citizenship,Politics,The prospect of immigration agents entering schools is sending shockwaves among communities,President Trump decades policy that prevented agents from arresting migrants without legal status sensitive places such schools Most districts drawing line sand,Positive
Citizenship,Politics,The economics and innovation behind modern warfare,this Sunday edition Business Insider Today showing cover business military defense,Negative
