Label,Subsection,Title,Abstract,Sentiment_Label
Citizenship,Politics,Olympic history maker Ngamba to turn professional,Olympic medal winner Cindy Ngamba will make professional debut boxing March,Positive
Citizenship,Politics,Mayor Adams office disputes Council claim he had no plan for Trump immigration actions,Council Speaker Adrienne Adams said city prepared Trump Council Speaker Adrienne Adams also urged mayor office join fight against president order birthright citizenship more,Positive
Citizenship,Politics,A Weekend Reading List,Read about secretive world extreme fishing approaches aging more,Positive
Citizenship,Politics,JD Vance Suggests Judges Aren t Allowed To Control Trump After Courts Block His Policies,slew court rulings recent weeks have hampered Trump administration moves issues like birthright citizenship shutting down USAID,Negative
Citizenship,Politics,Bitcoin s coming boom Trump s stock and meme coin sink and Netflix hits Markets news roundup,Christopher McMahon Aquinas Wealth Advisors author Faithful Finances spoke with Quartz latest installment Smart Investing video series Read more,Positive
Citizenship,Politics,Forbes Daily Jamie Dimon Defends DEI Efforts Amid Trump s Crackdown,Friday Forbes Daily covers Bloomberg climate pledge judge blocks Trump birthright citizenship Oscar nominations unveiled OpenAI latest tool more,Positive
Border Security,Politics,Tariff Uncertainty Taxes the Auto Industry,some industry uncertainty surrounding border trade almost worse than tariffs themselves tariffs through costs might passed down buyers,Negative
Border Security,Politics,Trump s cabinet pick for Homeland Security is Kristi Noem Here s what to know,confirmed Noem would lead department poised center Trump immigration policy priorities including deportation efforts visa changes border security,Positive
Border Security,Politics,Senate confirms Kristi Noem as Trump s Secretary of Homeland Security,Noem will charge executing President Trump biggest priorities second term cracking down immigration,Negative
Border Security,Politics,Trump faces moment of reckoning on trade after delaying tariffs,president will soon have decide whether match trade rhetoric with action shelve tariff plans,Positive
Border Security,Politics,Canada can avoid tariffs by becoming a US state says Trump,president complains tremendous trade deficit with neighbour saying does need Canadian energy vehicles lumber,Positive
Border Security,Politics,Taiwan Says Government Departments Should Not Use DeepSeek Citing Security Concerns,anonymous reader shares report Taiwan digital ministry said Friday that government departments should Chinese startup DeepSeek artificial intelligence service saying that product from China represents security concern,Negative
Border Security,Politics,What to know about Trump s immigration and border executive actions,Trump promises sign executive actions address immigration border security Some will likely spark legal battles,Positive
Border Security,Politics,Migrants left in despair at the border as asylum system shuts down,provided nearly people with asylum appointments since January contributing drop illegal border crossings,Negative
Border Security,Politics,Kristi Noem confirmed as secretary of homeland security,South Dakota Kristi Noem firebrand gained national spotlight during coronavirus pandemic confirmed Senate,Positive
Border Security,Politics,With House GOP stuck Senate pushes ahead with its plan to fund Trump s agenda,Senate Budget chair Graham wants plow forward funding package that bundles border security defense spending House continues struggle with plan,Positive
Border Security,Politics,Monthly border encounters decrease to lowest daily average since July,Daily encounters December along southwest border were lowest average since July according Department Homeland Security,Negative
Border Security,Politics,Homeland Security s workforce might not be as big as Trump s immigration goals,Changes hiring retention practices grew department people four years former officials warn that still enough Trump ambitious policy goals,Positive
Border Security,Politics,All of the Day executive actions Trump has announced so far,Trump expected sign slew actions relating immigration other issues,Negative
Border Security,Politics,I almost lost my Global Entry status over a mistake anyone could easily make,easy make airport mistake involving fruit Customs Border Protection almost cost money made lose Global Entry status,Positive
Border Security,Politics,Trump reinforces use of his Remain in Mexico policy,policy which created implemented during first Trump administration resulted tens thousands migrants waiting extended periods Mexico,Positive
Border Security,Politics,Trump s mass deportation plan could drain more than billion a year from Social Security,President Donald Trump mass deportation plans could have significant economic side effect draining Social Security funding,Positive
Border Security,Politics,Trump got what he wanted with the Canada and Mexico tariff pauses even if he didn t get that much,Trump slapped tariffs Canadian Mexican imports pressure them crack down illegal immigration fentanyl They caved,Negative
Border Security,Politics,Trump s border czar If you re in the country illegally you got a problem,According Trump border czar Homan every undocumented immigrant should worry they could arrested time even they have criminal record,Negative
Border Security,Politics,Trump s Tariffs on Canada Mexico and China Could Mean Higher Inflation and Economic Disruption,Trump honoring promises made White House campaign that core economic national security philosophy,Positive
Border Security,Politics,Trump wants to label drug cartels terrorist organizations Here s what that means in practice,full implications designating cartels terrorist organizations will depend large part administration follows through,Positive
Border Security,Politics,Trump border wall is on New Mexico ranchers wish list,Mexico couple hopes Trump administration makes good promise completing construction border wall,Positive
Border Security,Politics,Germany says Russian shadow ship stuck in Baltic Sea,Germany foreign minister accused Moscow deploying fleet rusty tankers avoid sanctions,Negative
Border Security,Politics,A long long road ahead Gaza rebuilds from zero,full scale humanitarian challenge ahead emerging displaced Palestinians return home writes Paul Adams,Positive
Border Security,Politics,DHS Secretary Kristi Noem joins immigration enforcement operations in NYC,Kristi Noem joined operations just days after confirmed Senate lead Department Homeland Security,Positive
Border Security,Politics,things to know about the fighting in the Democratic Republic of Congo,Rwandan backed rebels they control eastern Congolese city Goma Their fighters continue claim more territory world most mineral rich territories,Positive
Border Security,Politics,I d make it harder to get British citizenship says Badenoch,Conservative leader says people shouldn able apply citizenship least years,Positive
Border Security,Politics,What are the challenges facing the government s AI action plan,Keir Starmer unveiled proposals which says will make great superpowers,Positive
Border Security,Politics,A Quieter Border Didn t Serve Trump s Needs,president would rather exploit free than manage migrant flows effectively,Positive
Border Security,Politics,Israel has changed since Donald Trump s last term has he,this time hard choices Middle East president elect will have much think about when enters White House,Positive
Border Security,Politics,Post inauguration ICE raids starting as soon as Tuesday Sources,part President elect Donald Trump deportation plans will carry raids starting Tuesday sources briefed plans told News,Positive
Border Security,Politics,Trump orders end of humanitarian parole for migrants of four countries,Under Biden administration migrants from embattled countries could apply entry humanitarian reasons without having attempt cross into illegally,Negative
Border Security,Politics,Trump says U S will send worst criminal illegal aliens to Guant namo Bay,president says criminal migrants deported from United States could housed facility Cuba wasn immediately clear plan would implemented,Negative
Border Security,Politics,What to Know About Security Measures at the Super Bowl in New Orleans,After Year terror attack struck Orleans historic French Quarter city officials they confident security plans they have place Sunday Super Bowl,Positive
Border Security,Politics,Trump supporters welcome the first steps in his immigration crackdown,President Trump kicked second term with dramatic crackdown immigration Critics call those moves cruel unnecessary many Trump supporters applauding these early steps,Negative
Border Security,Politics,Breaking Down All of Trump s Day Presidential Actions,Trump issued executive orders memoranda proclamations first back Oval Office Here what know,Positive
Border Security,Politics,Trump says he could send US special operators after Mexican drug cartels It could make things a lot worse,There potential role special operations forces combating cartels getting this wrong could create more problems,Positive
Border Security,Politics,One Tiny iPhone Feature Shows Apple s Big Plans For Your Smart Home,Apple preparing release wave home technology Here getting ready,Positive
Border Security,Politics,Trump signs first bill of his second presidency the Laken Riley Act into law,bill named Georgia nursing student killed last year Venezuelan without legal status criminal record,Negative
Border Security,Politics,He Was Horrifying in Trump s First Term He s About to Get Even Worse,broad latitude what wants,Positive
Border Security,Politics,Caring Deeply About National Security Is Not the Same as Being Good at It,Some Trump cabinet picks sincere their beliefs That doesn make them these roles,Positive
Border Security,Politics,OnlyFans Star Lily Phillips Plan to Screw K Dudes Derailed by U S Border Security,OnlyFans star Lily Phillips rethinking plan screw dudes hours telling Customs Border Protection recently threw wrench ambitious sexcapade Lily tells detained Vegas airport last,Positive
Border Security,Politics,US military troops come in active duty Guard and reserve forces Here s what each one does,military forces home abroad different types troops rules each confusing,Negative
Border Security,Politics,These are the U S citizens held hostage in Gaza,Seven nearly hostages held Gaza citizens several whom confirmed dead,Positive
Border Security,Politics,UN warning on Gaza rebuilding task as aid surges with ceasefire deal,Unrwa Gaza director says rebuilding homes infrastructure people lives will take awful time,Negative
Border Security,Politics,Canadian fans boo US anthem as tariffs spur buy local pledge,Canadians have begun booing anthem sports games signalling depth anger steep tariffs,Negative
Border Security,Politics,Prices were a key issue in but Trump makes clear they re not his top priority,While prices economy were issues during campaign President Trump making clear that other issues most notably immigration main focus start second term,Positive
Border Security,Politics,China signals willingness to repatriate confirmed Chinese nationals from US,WASHINGTON Reuters China said Monday willing repatriate confirmed Chinese nationals from United States President Donald Trump,Positive
Border Security,Politics,Casinos high rises and fraud The BBC visits a city built on scams,haven super rich city built scams invited find,Positive
Border Security,Politics,China renews threat to retaliate against US tariffs,China reiterated could take necessary countermeasures after President Donald Trump decided impose tariff China allegedly doing little stem production precursor chemicals drug fentanyl,Negative
Border Security,Politics,What Lebanon s shifting political landscape means for Hezbollah,Hezbollah Lebanon most powerful political players been significantly weakened conflict with Israel,Positive
Border Security,Politics,Trump Shares the Founders Delusions on Canada,Attempts Canada have gone poorly since Trump rhetoric threatens repeat,Negative
Border Security,Politics,U S Aid Freeze Puts at Risk Ukraine s Wartime Help for Frontline Evacuees,American funding helps cover shelters fuel evacuation vehicles salaries workers more,Positive
DEI,Politics,Meta Kills DEI Programs,Mark Zuckerberg Meta terminating major programs effective immediately including hiring training picking suppliers Axios Meta said changing course because legal policy landscape surrounding diversity equity inclusio,Positive
DEI,Politics,What Comes After DEI,While backlash challenged many companies practitioners approach creating more equitable workplaces fewer have considered whether work itself room improve framework built around core outcomes fairness access incl,Positive
DEI,Politics,Costco s shareholders overwhelmingly reject anti DEI proposal,Costco shareholders voted overwhelmingly reject motion that would seek report risks diversity equity inclusion company hiring practices,Positive
DEI,Politics,Costco shareholders reject anti DEI proposal,Costco shareholders voted down anti proposal just days after President Trump issued sweeping rules federal agencies,Negative
DEI,Politics,Amazon To Halt Some of Its DEI Programs,Amazon said halting some diversity inclusion initiatives joining growing list major corporations that have made similar moves face increasing public legal scrutiny From report internal note staffers,Positive
DEI,Politics,Meta employees slam decision to roll back its DEI programs,Meta employees took internal forum viewed Business Insider vent disappointment anger over roll back,Negative
DEI,Politics,The companies fighting back against Trump s war on DEI,JPMorgan Costco efforts help drive innovation success though other companies like Meta Walmart scaling back policies,Positive
DEI,Politics,As DEI dies back Sam s Club CEO says his job is to create an environment of openness,companies including Walmart walk back soften their policies Club says openness connection remain important,Positive
DEI,Politics,The list of CEOs voicing support for their companies DEI initiatives is growing,Christian Sewing Deutsche Bank latest express support company initiatives,Positive
DEI,Politics,Elise Smith Defends DEI as Good Business,recent years right leaning leaders politics tech like Donald Trump Elon Musk have attacked value diversity equity inclusion initiatives Elise Smith founder tech startup Praxis Labs learning,Positive
DEI,Politics,EY report doubles down on diversity initiatives as DEI comes under scrutiny in Trump s first weeks in power,Four firm published report with recommendations boost strategies Trump calls private sector ditch them,Negative
DEI,Politics,NAACP s top marketer tackles everything from DEI rollbacks to the organization s first foray into daytime TV,Blankson chief marketing officer NAACP leading organization storytelling advocacy campaigns during this critical moment first foray into daytime,Positive
DEI,Politics,How the Trump Administration Is Taking Its First Steps Toward Dismantling DEI,Trump administration moved affirmative action federal contracting directed that federal staff paid leave eventually laid first salvo aggressive campaign upend efforts nationwide,Positive
DEI,Politics,How a military recruitment crisis is leaving the U S vulnerable,President Trump blames shortage recruits programs Yorker writer Dexter Filkins says enough people want enlist many pass weight limit aptitude test,Positive
DEI,Politics,The Human Cost of Trump Firing All Federal DEI Workers,Professor Shaun Harper explains President Donald Trump decision eliminate federal related jobs negatively impacts workers,Negative
DEI,Politics,CDC Ordered to Scrub Website of Words Like Transgender and LGBT,employee spoke with Gizmodo about unprecedented changes,Positive
DEI,Politics,Beyonc Proves That Winning Is The Best Form of Activism,John Hope Bryant argues that Beyonc history making Grammy demonstrates influence ownership even more powerful than,Positive
DEI,Politics,Why right wing influencers are blaming the California wildfires on diversity efforts,Prominent right wing influencers claiming that response Angeles wildfires hampered workplace diversity policies part wider strategy discredit those policies,Positive
DEI,Politics,Federal Agencies Begin Removing DEI Guidance From Websites in Trump Crackdown,Several federal agencies have begun removing resources underrepresented Americans from their webpages following President Donald Trump executive order cracking down diversity equity inclusion initiatives,Negative
DEI,Politics,The Global Far Right Is Celebrating Trump s New World Order,right lawmakers extremist influencers world over celebrating Trump early days office advocating similar efforts their countries,Positive
DEI,Politics,What does Donald Trump s anti DEI executive order mean for private companies,What does President Donald Trump executive order directing federal agencies encourage private companies abandon policies mean businesses,Negative
DEI,Politics,WATCH Trump blames DEI policies for deadly DC collision without evidence,Without citing evidence president said initiatives traffic controllers under Democratic presidents were partly blame Wednesday tragic Washington collision,Negative
DEI,Politics,Paid administrative hell Some Ed Dept staff put on leave after Trump s DEI order,While specific reason given three employees told News they believe common thread among them attendance voluntary diversity training,Negative
DEI,Politics,Mark Zuckerberg Goes Mask Off and Ditches Diversity,company terminating programs latest shift away from progressive policy,Positive
DEI,Politics,Trump casts speculation unproven claims on DC plane crash as cause remains unknown,While cause been determined Washington plane crash President Donald Trump quick assign blame Thursday Democrats other factors,Positive
DEI,Politics,Here s why Apple is right to hold firm on its DEI policies,upcoming change presidency seen number companies make changes long standing policies fields spanning content moderation policies reported Friday however Apple holding firm Diversity Equity,Negative
DEI,Politics,Black boxes found as officials examine staffing shortage in DC plane crash,fatal collision between passenger plane military helicopter expected have killed involved,Negative
DEI,Politics,Someone at Activision is leaking Slack screenshots to right wing X users,right users formerly Twitter singling individual Activision Blizzard employees comments made support inclusion company,Positive
DEI,Politics,New FTC Chair Fighting DEI Cuts Off Public Comments on Surveillance Pricing,Commissioner Alvaro Bedoya offered scathing dissenting opinion agency guidelines,Negative
DEI,Politics,Trump Blames DEI for Plane Crash That Killed in Ridiculous Press Conference,Trump provided evidence said common sense crash caused diversity hiring,Negative
DEI,Politics,Video game publishers are starting to use anti DEI as a marketing meme,Following Republican victory elections several companies have experimented with pivoting away from Diversity Ethics Inclusion collection employment practices aimed challenging bias prejudice workplace Faceboo,Positive
DEI,Politics,The NFL is removing End Racism from its Super Bowl end zone,Here what decision America favorite sports league tells about anticipatory obedience,Positive
DEI,Politics,Trump has issued a number of orders affecting the military Here s what they do,President Trump signed number executive orders Monday night aimed military Here breakdown what signed,Negative
DEI,Politics,Meta CEO Mark Zuckerberg says the company will be cutting low performers faster as a way to raise the bar,Meta chief wrote post Workplace company internal forum that company will doing more extensive performance based cuts,Positive
DACA,Politics,Trump to declare national emergency at US Mexico border in flurry of day one orders,incoming president plans sign many executive orders administration begins,Positive
DACA,Politics,Trump has a message to CEOs Build in America or pay up,Trump clear message business leaders address World Economic Forum,Positive
DACA,Politics,When DEI Fails Is Diversity Just a Marketing Gimmick,initiatives promise transformative change creative industries often devolve into performative actions that undermine trust stifle innovation,Positive
DACA,Politics,A Davos download on everything we heard and saw during a busy week in the Alps,this Sunday edition Today bringing highlights from World Economic Forum Davos Switzerland,Positive
DACA,Politics,What Happens to Student Loans and Financial Aid During Trump s Federal Funding Freeze,federal pause does affect federal student loans Pell Grants impact other student programs remains unclear,Negative
DACA,Politics,Mark Zuckerberg and Sheryl Sandberg want you to know they re still friends and definitely not mad at each other,Thursday York Times published lengthy story about rise power Stephen Miller longtime loyalist Donald Trump known hardline views immigration Normally story like that wouldn much attention tech press,Positive
